<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;12.07.21;0;5250.2000000;5296.8000000;5208.8000000;5281.0000000;349925
YNDX;D;13.07.21;0;5273.8000000;5298.0000000;5206.2000000;5256.8000000;374339
YNDX;D;14.07.21;0;5252.2000000;5278.8000000;5172.2000000;5177.8000000;382642
YNDX;D;15.07.21;0;5174.0000000;5238.8000000;5140.0000000;5188.0000000;313127
YNDX;D;16.07.21;0;5193.8000000;5235.0000000;5137.8000000;5150.0000000;345078
YNDX;D;19.07.21;0;5150.0000000;5179.0000000;5059.8000000;5109.0000000;545818
YNDX;D;20.07.21;0;5122.8000000;5127.6000000;5045.2000000;5095.4000000;332912
YNDX;D;21.07.21;0;5100.0000000;5165.0000000;5075.4000000;5151.2000000;260067
YNDX;D;22.07.21;0;5161.8000000;5198.8000000;5112.0000000;5165.8000000;381228
YNDX;D;23.07.21;0;5173.4000000;5198.8000000;5115.0000000;5196.4000000;304303
YNDX;D;26.07.21;0;5185.6000000;5237.0000000;5130.0000000;5155.2000000;669192
YNDX;D;27.07.21;0;5154.8000000;5177.2000000;4975.4000000;5035.2000000;740135
YNDX;D;28.07.21;0;5014.0000000;5137.4000000;5000.4000000;5076.8000000;692146
YNDX;D;29.07.21;0;5076.2000000;5095.8000000;5005.0000000;5034.6000000;505841
YNDX;D;30.07.21;0;5011.0000000;5026.0000000;4905.0000000;4970.4000000;954770
YNDX;D;02.08.21;0;4994.0000000;5007.6000000;4928.0000000;4938.0000000;353448
YNDX;D;03.08.21;0;4944.2000000;4972.0000000;4910.2000000;4934.0000000;445134
YNDX;D;04.08.21;0;4943.4000000;5019.8000000;4910.0000000;4989.6000000;479392
YNDX;D;05.08.21;0;4992.4000000;5032.2000000;4960.2000000;4995.0000000;376717
YNDX;D;06.08.21;0;4991.0000000;5025.2000000;4920.0000000;4971.2000000;393665
YNDX;D;09.08.21;0;4971.2000000;5007.0000000;4936.0000000;4971.0000000;268030
YNDX;D;10.08.21;0;4986.4000000;4994.0000000;4930.8000000;4966.2000000;276377
YNDX;D;11.08.21;0;4970.0000000;5065.0000000;4945.0000000;5036.4000000;453405
YNDX;D;12.08.21;0;5026.0000000;5068.6000000;4971.0000000;4984.4000000;369995
YNDX;D;13.08.21;0;4984.8000000;5000.4000000;4935.0000000;4975.0000000;214780
YNDX;D;16.08.21;0;4970.0000000;5093.4000000;4960.0000000;5093.0000000;581957
YNDX;D;17.08.21;0;5065.0000000;5139.8000000;5061.4000000;5065.2000000;536075
YNDX;D;18.08.21;0;5096.2000000;5127.0000000;5052.4000000;5055.2000000;294711
YNDX;D;19.08.21;0;5052.0000000;5115.0000000;4994.2000000;5065.6000000;506013
YNDX;D;20.08.21;0;5065.6000000;5113.8000000;5016.0000000;5061.0000000;287267
YNDX;D;23.08.21;0;5093.0000000;5124.8000000;5047.0000000;5104.0000000;303032
YNDX;D;24.08.21;0;5115.0000000;5159.2000000;5061.2000000;5159.0000000;372150
YNDX;D;25.08.21;0;5150.0000000;5155.4000000;5106.0000000;5129.6000000;248387
YNDX;D;26.08.21;0;5129.6000000;5233.8000000;5091.0000000;5219.0000000;399212
YNDX;D;27.08.21;0;5218.0000000;5326.8000000;5180.0000000;5308.0000000;593499
YNDX;D;30.08.21;0;5309.8000000;5405.0000000;5290.0000000;5352.4000000;570458
YNDX;D;31.08.21;0;5385.8000000;5647.0000000;5378.0000000;5615.0000000;1520571
YNDX;D;01.09.21;0;5624.0000000;5767.4000000;5565.0000000;5699.6000000;1061509
YNDX;D;02.09.21;0;5724.8000000;5773.0000000;5629.6000000;5636.4000000;709017
YNDX;D;03.09.21;0;5649.8000000;5738.2000000;5592.0000000;5732.6000000;525282
YNDX;D;06.09.21;0;5740.0000000;5860.0000000;5726.6000000;5804.0000000;382579
YNDX;D;07.09.21;0;5810.0000000;5828.6000000;5689.0000000;5690.8000000;618931
YNDX;D;08.09.21;0;5687.8000000;5759.8000000;5647.4000000;5712.6000000;543506
YNDX;D;09.09.21;0;5701.4000000;5766.0000000;5642.0000000;5735.0000000;411425
YNDX;D;10.09.21;0;5745.6000000;5896.0000000;5707.8000000;5868.4000000;450366
YNDX;D;13.09.21;0;5892.6000000;5948.0000000;5817.0000000;5939.2000000;513262
YNDX;D;14.09.21;0;5942.0000000;5988.6000000;5872.0000000;5973.0000000;533537
YNDX;D;15.09.21;0;5970.8000000;5990.4000000;5861.8000000;5892.0000000;504454
YNDX;D;16.09.21;0;5894.0000000;5986.4000000;5866.4000000;5872.0000000;659483
YNDX;D;17.09.21;0;5884.0000000;5924.8000000;5825.6000000;5828.4000000;543387
YNDX;D;20.09.21;0;5827.0000000;5877.0000000;5767.0000000;5785.0000000;494076
YNDX;D;21.09.21;0;5808.0000000;5839.0000000;5726.0000000;5771.8000000;379725
YNDX;D;22.09.21;0;5782.0000000;5796.6000000;5722.0000000;5755.0000000;382770
YNDX;D;23.09.21;0;5755.0000000;5890.0000000;5735.0000000;5885.0000000;354430
YNDX;D;24.09.21;0;5890.0000000;5890.0000000;5786.0000000;5850.4000000;272481
YNDX;D;27.09.21;0;5851.0000000;5980.0000000;5831.4000000;5949.2000000;694533
YNDX;D;28.09.21;0;5949.4000000;5964.8000000;5750.2000000;5788.0000000;509369
YNDX;D;29.09.21;0;5789.8000000;5880.0000000;5741.0000000;5762.4000000;351585
YNDX;D;30.09.21;0;5769.6000000;5849.0000000;5731.0000000;5804.6000000;501002
YNDX;D;01.10.21;0;5774.0000000;5843.8000000;5745.2000000;5766.4000000;334023
YNDX;D;04.10.21;0;5764.6000000;5774.6000000;5433.4000000;5504.0000000;937249
YNDX;D;05.10.21;0;5472.6000000;5639.6000000;5464.2000000;5594.2000000;930282
YNDX;D;06.10.21;0;5592.0000000;5699.0000000;5500.0000000;5694.2000000;764711
YNDX;D;07.10.21;0;5695.4000000;5767.8000000;5649.8000000;5705.2000000;756213
YNDX;D;08.10.21;0;5700.4000000;5729.6000000;5639.2000000;5701.6000000;498047
YNDX;D;11.10.21;0;5703.4000000;5736.8000000;5587.6000000;5622.2000000;446168
YNDX;D;12.10.21;0;5607.0000000;5653.6000000;5545.0000000;5549.0000000;491568
YNDX;D;13.10.21;0;5560.0000000;5629.0000000;5524.6000000;5553.8000000;483838
YNDX;D;14.10.21;0;5582.2000000;5619.0000000;5492.2000000;5518.0000000;578126
YNDX;D;15.10.21;0;5535.0000000;5546.0000000;5400.2000000;5427.2000000;589950
YNDX;D;18.10.21;0;5403.4000000;5489.2000000;5382.0000000;5488.8000000;349478
YNDX;D;19.10.21;0;5495.0000000;5540.0000000;5431.0000000;5480.0000000;498543
YNDX;D;20.10.21;0;5480.8000000;5526.0000000;5405.2000000;5420.2000000;414060
YNDX;D;21.10.21;0;5415.8000000;5449.0000000;5370.0000000;5390.0000000;364841
YNDX;D;22.10.21;0;5392.0000000;5434.8000000;5308.6000000;5325.8000000;444860
YNDX;D;25.10.21;0;5340.6000000;5422.0000000;5319.0000000;5383.0000000;429465
