<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;D;17/05/21;00:00:00;635.9000000;648.0000000;616.9000000;621.4000000;26800
MDMG;D;18/05/21;00:00:00;625.8000000;637.0000000;620.1000000;630.1000000;20240
MDMG;D;19/05/21;00:00:00;630.0000000;641.5000000;615.0000000;620.0000000;18690
MDMG;D;20/05/21;00:00:00;617.3000000;644.4000000;617.3000000;620.5000000;18640
MDMG;D;21/05/21;00:00:00;621.5000000;637.6000000;620.6000000;625.0000000;5370
MDMG;D;24/05/21;00:00:00;626.3000000;639.6000000;626.3000000;631.0000000;7360
MDMG;D;25/05/21;00:00:00;641.9000000;641.9000000;623.5000000;624.9000000;4360
MDMG;D;26/05/21;00:00:00;625.3000000;633.0000000;621.1000000;629.5000000;9520
MDMG;D;27/05/21;00:00:00;641.9000000;644.9000000;622.0000000;644.3000000;13740
MDMG;D;28/05/21;00:00:00;686.9000000;686.9000000;625.2000000;648.0000000;21430
MDMG;D;31/05/21;00:00:00;648.1000000;683.0000000;648.1000000;679.9000000;18100
MDMG;D;01/06/21;00:00:00;675.0000000;722.5000000;675.0000000;693.8000000;35870
MDMG;D;02/06/21;00:00:00;693.9000000;707.0000000;688.0000000;703.7000000;13360
MDMG;D;03/06/21;00:00:00;703.7000000;729.9000000;703.7000000;713.1000000;27860
MDMG;D;04/06/21;00:00:00;719.9000000;723.6000000;695.0000000;701.0000000;27850
MDMG;D;07/06/21;00:00:00;725.0000000;728.5000000;695.0000000;709.7000000;26390
MDMG;D;08/06/21;00:00:00;705.1000000;716.0000000;690.4000000;709.0000000;15590
MDMG;D;09/06/21;00:00:00;710.0000000;716.0000000;698.0000000;703.0000000;12400
MDMG;D;10/06/21;00:00:00;709.9000000;714.6000000;680.6000000;706.2000000;16710
MDMG;D;11/06/21;00:00:00;701.3000000;721.7000000;701.3000000;718.8000000;31200
MDMG;D;14/06/21;00:00:00;717.5000000;721.0000000;691.8000000;704.0000000;17370
MDMG;D;15/06/21;00:00:00;695.0000000;712.0000000;695.0000000;700.0000000;9560
MDMG;D;16/06/21;00:00:00;710.5000000;710.9000000;693.6000000;696.7000000;10350
MDMG;D;17/06/21;00:00:00;699.0000000;712.0000000;695.1000000;701.8000000;20830
MDMG;D;18/06/21;00:00:00;707.7000000;707.7000000;666.0000000;702.0000000;39320
MDMG;D;21/06/21;00:00:00;705.0000000;792.5000000;690.9000000;725.0000000;94600
MDMG;D;22/06/21;00:00:00;765.0000000;769.2000000;712.2000000;722.0000000;134540
MDMG;D;23/06/21;00:00:00;722.0000000;749.0000000;720.0000000;728.3000000;79260
MDMG;D;24/06/21;00:00:00;744.9000000;744.9000000;718.1000000;718.4000000;25910
MDMG;D;25/06/21;00:00:00;722.0000000;722.1000000;708.0000000;708.0000000;51380
MDMG;D;28/06/21;00:00:00;709.2000000;752.0000000;709.2000000;736.4000000;105820
MDMG;D;29/06/21;00:00:00;736.1000000;765.9000000;727.0000000;728.0000000;46180
MDMG;D;30/06/21;00:00:00;739.0000000;766.0000000;733.8000000;755.0000000;44610
MDMG;D;01/07/21;00:00:00;753.0000000;830.0000000;752.0000000;803.9000000;95140
MDMG;D;02/07/21;00:00:00;814.1000000;884.8000000;810.7000000;878.9000000;205240
MDMG;D;05/07/21;00:00:00;890.0000000;999.8000000;840.1000000;887.0000000;490210
MDMG;D;06/07/21;00:00:00;896.0000000;933.6000000;810.0000000;819.0000000;301750
MDMG;D;07/07/21;00:00:00;825.0000000;890.0000000;822.4000000;870.5000000;247000
MDMG;D;08/07/21;00:00:00;878.1000000;897.8000000;821.0000000;824.6000000;120800
MDMG;D;09/07/21;00:00:00;825.7000000;858.5000000;819.0000000;824.0000000;91050
MDMG;D;12/07/21;00:00:00;834.9000000;834.9000000;818.0000000;825.9000000;22670
MDMG;D;13/07/21;00:00:00;825.7000000;829.0000000;796.0000000;823.8000000;45120
MDMG;D;14/07/21;00:00:00;827.0000000;840.0000000;811.2000000;817.8000000;35690
MDMG;D;15/07/21;00:00:00;817.9000000;818.0000000;761.1000000;793.9000000;99860
MDMG;D;16/07/21;00:00:00;795.9000000;814.7000000;770.4000000;806.0000000;29740
MDMG;D;19/07/21;00:00:00;813.7000000;816.7000000;761.6000000;774.0000000;52710
MDMG;D;20/07/21;00:00:00;786.5000000;786.5000000;750.0000000;751.7000000;39960
MDMG;D;21/07/21;00:00:00;757.6000000;799.9000000;745.0000000;794.0000000;62720
MDMG;D;22/07/21;00:00:00;799.5000000;825.0000000;775.5000000;798.0000000;41580
MDMG;D;23/07/21;00:00:00;804.9000000;804.9000000;781.1000000;795.6000000;18200
MDMG;D;26/07/21;00:00:00;811.5000000;811.9000000;770.5000000;772.1000000;22180
MDMG;D;27/07/21;00:00:00;778.3000000;788.0000000;763.0000000;770.0000000;19380
MDMG;D;28/07/21;00:00:00;761.0000000;796.3000000;760.1000000;780.0000000;22680
MDMG;D;29/07/21;00:00:00;792.5000000;813.0000000;785.0000000;800.4000000;41400
MDMG;D;30/07/21;00:00:00;800.0000000;807.9000000;775.6000000;786.1000000;26020
MDMG;D;02/08/21;00:00:00;803.1000000;812.7000000;776.2000000;801.0000000;58760
MDMG;D;03/08/21;00:00:00;801.0000000;817.5000000;785.8000000;808.1000000;106920
MDMG;D;04/08/21;00:00:00;808.1000000;843.0000000;803.0000000;825.0000000;51670
MDMG;D;05/08/21;00:00:00;831.0000000;850.0000000;826.2000000;840.7000000;57630
MDMG;D;06/08/21;00:00:00;848.7000000;855.0000000;840.0000000;855.0000000;39430
MDMG;D;09/08/21;00:00:00;855.0000000;866.0000000;810.6000000;816.1000000;65110
MDMG;D;10/08/21;00:00:00;819.2000000;848.7000000;819.2000000;841.0000000;45260
MDMG;D;11/08/21;00:00:00;854.3000000;854.3000000;825.1000000;835.8000000;20240
MDMG;D;12/08/21;00:00:00;842.3000000;852.0000000;832.1000000;850.7000000;48760
MDMG;D;13/08/21;00:00:00;842.0000000;848.7000000;835.0000000;838.2000000;25860
MDMG;D;16/08/21;00:00:00;837.5000000;849.9000000;830.0000000;840.0000000;25950
MDMG;D;17/08/21;00:00:00;843.9000000;845.0000000;830.1000000;830.1000000;16570
MDMG;D;18/08/21;00:00:00;821.4000000;830.0000000;805.0000000;817.0000000;28680
MDMG;D;19/08/21;00:00:00;820.0000000;821.6000000;795.0000000;807.8000000;20870
MDMG;D;20/08/21;00:00:00;814.9000000;814.9000000;790.5000000;803.0000000;12240
MDMG;D;23/08/21;00:00:00;806.5000000;824.9000000;803.1000000;817.4000000;18430
MDMG;D;24/08/21;00:00:00;820.0000000;832.0000000;806.1000000;816.0000000;14030
MDMG;D;25/08/21;00:00:00;826.9000000;837.3000000;816.6000000;826.8000000;29890
MDMG;D;26/08/21;00:00:00;834.9000000;834.9000000;815.0000000;830.2000000;18850
MDMG;D;27/08/21;00:00:00;832.0000000;844.8000000;831.0000000;835.9000000;15970
MDMG;D;30/08/21;00:00:00;838.1000000;880.0000000;838.1000000;876.9000000;63860
MDMG;D;31/08/21;00:00:00;875.1000000;917.0000000;872.6000000;903.3000000;94328
MDMG;D;01/09/21;00:00:00;914.0000000;915.9000000;880.2000000;882.4000000;58593
MDMG;D;02/09/21;00:00:00;880.2000000;908.8000000;858.0000000;887.5000000;95002
MDMG;D;03/09/21;00:00:00;898.9000000;909.8000000;870.2000000;876.9000000;40498
MDMG;D;06/09/21;00:00:00;908.9000000;919.0000000;860.0000000;870.0000000;170020
MDMG;D;07/09/21;00:00:00;876.8000000;892.3000000;870.5000000;887.0000000;61960
MDMG;D;08/09/21;00:00:00;896.0000000;896.1000000;876.9000000;889.4000000;42478
MDMG;D;09/09/21;00:00:00;896.2000000;896.2000000;876.5000000;880.0000000;45751
MDMG;D;10/09/21;00:00:00;887.9000000;888.3000000;870.0000000;870.7000000;25187
MDMG;D;13/09/21;00:00:00;876.8000000;889.2000000;865.6000000;873.1000000;28283
MDMG;D;14/09/21;00:00:00;876.0000000;877.0000000;868.1000000;868.1000000;17143
MDMG;D;15/09/21;00:00:00;871.9000000;880.0000000;858.0000000;870.0000000;60770
MDMG;D;16/09/21;00:00:00;862.3000000;879.9000000;858.0000000;868.0000000;18346
MDMG;D;17/09/21;00:00:00;864.0000000;876.0000000;859.0000000;865.0000000;12495
MDMG;D;20/09/21;00:00:00;867.0000000;883.3000000;822.7000000;846.1000000;91635
MDMG;D;21/09/21;00:00:00;850.2000000;869.1000000;837.5000000;848.0000000;25444
MDMG;D;22/09/21;00:00:00;848.0000000;865.0000000;846.1000000;852.9000000;28956
MDMG;D;23/09/21;00:00:00;836.9000000;877.0000000;831.1000000;874.5000000;50948
MDMG;D;24/09/21;00:00:00;876.0000000;883.0000000;860.1000000;862.2000000;24769
MDMG;D;27/09/21;00:00:00;871.5000000;898.9000000;865.3000000;867.5000000;27455
MDMG;D;28/09/21;00:00:00;865.4000000;871.0000000;840.0000000;852.5000000;25740
MDMG;D;29/09/21;00:00:00;853.8000000;853.9000000;825.0000000;825.0000000;29742
MDMG;D;30/09/21;00:00:00;831.9000000;844.7000000;808.4000000;823.5000000;26331
MDMG;D;01/10/21;00:00:00;844.0000000;844.0000000;812.8000000;823.6000000;23254
MDMG;D;04/10/21;00:00:00;820.0000000;843.1000000;808.3000000;814.0000000;35148
MDMG;D;05/10/21;00:00:00;814.0000000;840.0000000;800.1000000;820.0000000;31858
MDMG;D;06/10/21;00:00:00;829.0000000;829.0000000;790.0000000;797.1000000;29413
MDMG;D;07/10/21;00:00:00;803.0000000;818.9000000;797.6000000;811.7000000;18187
MDMG;D;08/10/21;00:00:00;819.0000000;825.0000000;809.1000000;813.0000000;28060
MDMG;D;11/10/21;00:00:00;817.9000000;859.0000000;813.0000000;854.0000000;40680
MDMG;D;12/10/21;00:00:00;856.3000000;860.4000000;839.1000000;855.0000000;19169
MDMG;D;13/10/21;00:00:00;855.0000000;860.4000000;840.0000000;852.7000000;25611
MDMG;D;14/10/21;00:00:00;852.7000000;860.3000000;850.1000000;859.0000000;18362
